Time;temperature;air_rh;ground_rh;tank_level;volume;luminosity
03/02/2022 10:19;;;29,27;;;
03/02/2022 10:21;;;29,31;;;
03/02/2022 10:23;;;29,51;;;
03/02/2022 10:25;;;29,57;;;
03/02/2022 10:27;;;29,43;;;
03/02/2022 10:29;;;29,51;;;
03/02/2022 10:31;;;29,42;;;
03/02/2022 10:33;;;29,33;;;
03/02/2022 10:35;;;29,3;;;
03/02/2022 10:37;;;29,34;;;
03/02/2022 10:39;;;29,28;;;
03/02/2022 10:41;;;29,36;;;
03/02/2022 10:43;;;29,23;;;
03/02/2022 10:45;;;29,2;;;
03/02/2022 10:47;;;29,23;;;
03/02/2022 10:49;;;29,22;;;
03/02/2022 10:51;;;29,12;;;
03/02/2022 10:53;;;29,09;;;
03/02/2022 10:55;;;29,17;;;
03/02/2022 10:57;;;29,16;;;
03/02/2022 10:59;;;28,99;;;
03/02/2022 11:01;;;29,03;;;
03/02/2022 11:03;;;29,05;;;
03/02/2022 11:05;;;29,06;;;
03/02/2022 11:07;;;29,19;;;
03/02/2022 11:09;;;28,96;;;
03/02/2022 11:11;;;28,93;;;
03/02/2022 11:13;;;28,95;;;
03/02/2022 11:15;;;28,86;;;
03/02/2022 11:18;;;28,8;;;
03/02/2022 11:20;;;28,8;;;
03/02/2022 11:22;;;28,82;;;
03/02/2022 11:24;;;28,8;;;
03/02/2022 11:26;;;28,79;;;
03/02/2022 11:28;;;28,78;;;
03/02/2022 11:30;;;28,72;;;
03/02/2022 11:32;;;28,71;;;
03/02/2022 11:34;;;28,59;;;
03/02/2022 11:36;;;28,5;;;
03/02/2022 11:38;;;28,56;;;
03/02/2022 11:40;;;28,59;;;
03/02/2022 11:42;;;28,48;;;
03/02/2022 11:44;;;28,49;;;
03/02/2022 11:46;;;28,52;;;
03/02/2022 11:48;;;28,52;;;
03/02/2022 11:50;;;28,47;;;
03/02/2022 11:52;;;28,36;;;
03/02/2022 11:54;;;28,36;;;
03/02/2022 11:56;;;28,3;;;
03/02/2022 11:58;;;28,35;;;
03/02/2022 12:00;;;28,29;;;
03/02/2022 12:02;;;28,33;;;
03/02/2022 12:04;;;28,15;;;
03/02/2022 12:06;;;28,18;;;
03/02/2022 12:08;;;28,11;;;
03/02/2022 12:10;;;28,09;;;
03/02/2022 12:12;;;28,08;;;
03/02/2022 12:14;;;28,06;;;
03/02/2022 12:16;;;27,97;;;
03/02/2022 12:18;;;27,93;;;
03/02/2022 12:20;;;27,95;;;
03/02/2022 12:22;;;28,03;;;
03/02/2022 12:24;;;27,94;;;
03/02/2022 12:26;;;27,88;;;
03/02/2022 12:28;;;27,79;;;
03/02/2022 12:30;;;27,76;;;
03/02/2022 12:32;;;27,84;;;
03/02/2022 12:34;;;27,75;;;
03/02/2022 12:36;;;27,72;;;
03/02/2022 12:38;;;27,56;;;
03/02/2022 12:40;;;27,6;;;
03/02/2022 12:42;;;27,65;;;
03/02/2022 12:44;;;27,69;;;
03/02/2022 12:46;;;27,63;;;
03/02/2022 12:48;;;27,52;;;
03/02/2022 12:50;;;27,6;;;
03/02/2022 12:52;;;27,58;;;
03/02/2022 12:54;;;27,5;;;
03/02/2022 12:56;;;27,45;;;
03/02/2022 12:58;;;27,31;;;
03/02/2022 13:00;;;27,38;;;
03/02/2022 13:02;;;27,26;;;
03/02/2022 13:04;;;27,26;;;
03/02/2022 13:06;;;27,3;;;
03/02/2022 13:08;;;27,32;;;
03/02/2022 13:10;;;27,3;;;
03/02/2022 13:12;;;27,09;;;
03/02/2022 13:14;;;27,11;;;
03/02/2022 13:16;;;27,12;;;
03/02/2022 13:18;;;27,05;;;
03/02/2022 13:20;;;26,85;;;
03/02/2022 13:22;;;26,72;;;
03/02/2022 13:24;;;26,76;;;
03/02/2022 13:27;;;26,78;;;
03/02/2022 13:29;;;26,78;;;
03/02/2022 13:31;;;26,73;;;
03/02/2022 13:33;;;26,67;;;
03/02/2022 13:35;;;26,63;;;
03/02/2022 13:37;;;26,52;;;
03/02/2022 13:39;;;26,39;;;
