Time;temperature;air_rh;ground_rh;tank_level;volume;luminosity
03/02/2022 10:19;;;;;0,17;
03/02/2022 10:21;;;;;208,67;
03/02/2022 10:23;;;;;512,56;
03/02/2022 10:25;;;;;1,02;
03/02/2022 10:27;;;;;121,94;
03/02/2022 10:29;;;;;0;
03/02/2022 10:31;;;;;0;
03/02/2022 10:33;;;;;0;
03/02/2022 10:35;;;;;0;
03/02/2022 10:37;;;;;0;
03/02/2022 10:39;;;;;0;
03/02/2022 10:41;;;;;0;
03/02/2022 10:43;;;;;0;
03/02/2022 10:45;;;;;0;
03/02/2022 10:47;;;;;0;
03/02/2022 10:49;;;;;0;
03/02/2022 10:51;;;;;0;
03/02/2022 10:53;;;;;0;
03/02/2022 10:55;;;;;0;
03/02/2022 10:57;;;;;0;
03/02/2022 10:59;;;;;0;
03/02/2022 11:01;;;;;0;
03/02/2022 11:03;;;;;0;
03/02/2022 11:05;;;;;0;
03/02/2022 11:07;;;;;0;
03/02/2022 11:09;;;;;0;
03/02/2022 11:11;;;;;0;
03/02/2022 11:13;;;;;0;
03/02/2022 11:15;;;;;0;
03/02/2022 11:18;;;;;0;
03/02/2022 11:20;;;;;0;
03/02/2022 11:22;;;;;0;
03/02/2022 11:24;;;;;0;
03/02/2022 11:26;;;;;0;
03/02/2022 11:28;;;;;0;
03/02/2022 11:30;;;;;0;
03/02/2022 11:32;;;;;0;
03/02/2022 11:34;;;;;0;
03/02/2022 11:36;;;;;0;
03/02/2022 11:38;;;;;0;
03/02/2022 11:40;;;;;0;
03/02/2022 11:42;;;;;0;
03/02/2022 11:44;;;;;0;
03/02/2022 11:46;;;;;0;
03/02/2022 11:48;;;;;0;
03/02/2022 11:50;;;;;0;
03/02/2022 11:52;;;;;0;
03/02/2022 11:54;;;;;0;
03/02/2022 11:56;;;;;0;
03/02/2022 11:58;;;;;0;
03/02/2022 12:00;;;;;0;
03/02/2022 12:02;;;;;0;
03/02/2022 12:04;;;;;0;
03/02/2022 12:06;;;;;0,51;
03/02/2022 12:08;;;;;0,17;
03/02/2022 12:10;;;;;0;
03/02/2022 12:12;;;;;0;
03/02/2022 12:14;;;;;0;
03/02/2022 12:16;;;;;0;
03/02/2022 12:18;;;;;0;
03/02/2022 12:20;;;;;0;
03/02/2022 12:22;;;;;0;
03/02/2022 12:24;;;;;1,36;
03/02/2022 12:26;;;;;0;
03/02/2022 12:28;;;;;0;
03/02/2022 12:30;;;;;0;
03/02/2022 12:32;;;;;0;
03/02/2022 12:34;;;;;0;
03/02/2022 12:36;;;;;0;
03/02/2022 12:38;;;;;0;
03/02/2022 12:40;;;;;143,54;
03/02/2022 12:42;;;;;23,98;
03/02/2022 12:44;;;;;0;
03/02/2022 12:46;;;;;0;
03/02/2022 12:48;;;;;0;
03/02/2022 12:50;;;;;0;
03/02/2022 12:52;;;;;0;
03/02/2022 12:54;;;;;0;
03/02/2022 12:56;;;;;0;
03/02/2022 12:58;;;;;0;
03/02/2022 13:00;;;;;0;
03/02/2022 13:02;;;;;0;
03/02/2022 13:04;;;;;0;
03/02/2022 13:06;;;;;0;
03/02/2022 13:08;;;;;0;
03/02/2022 13:10;;;;;0;
03/02/2022 13:12;;;;;0;
03/02/2022 13:14;;;;;0;
03/02/2022 13:16;;;;;0;
03/02/2022 13:18;;;;;0;
03/02/2022 13:20;;;;;0;
03/02/2022 13:22;;;;;0;
03/02/2022 13:24;;;;;0;
03/02/2022 13:27;;;;;0;
03/02/2022 13:29;;;;;0;
03/02/2022 13:31;;;;;0;
03/02/2022 13:33;;;;;0;
03/02/2022 13:35;;;;;0;
03/02/2022 13:37;;;;;0;
03/02/2022 13:39;;;;;0;
