Time;temperature;air_rh;ground_rh;tank_level;volume;luminosity
03/02/2022 10:19;;;;;;9363
03/02/2022 10:21;;;;;;9170
03/02/2022 10:23;;;;;;9069
03/02/2022 10:25;;;;;;9694
03/02/2022 10:27;;;;;;9614
03/02/2022 10:29;;;;;;9694
03/02/2022 10:31;;;;;;9613
03/02/2022 10:33;;;;;;9355
03/02/2022 10:35;;;;;;9372
03/02/2022 10:37;;;;;;9556
03/02/2022 10:39;;;;;;9331
03/02/2022 10:41;;;;;;9392
03/02/2022 10:43;;;;;;9553
03/02/2022 10:45;;;;;;9498
03/02/2022 10:47;;;;;;9673
03/02/2022 10:49;;;;;;9588
03/02/2022 10:51;;;;;;9507
03/02/2022 10:53;;;;;;9661
03/02/2022 10:55;;;;;;9768
03/02/2022 10:57;;;;;;9836
03/02/2022 10:59;;;;;;9921
03/02/2022 11:01;;;;;;9588
03/02/2022 11:03;;;;;;9469
03/02/2022 11:05;;;;;;9563
03/02/2022 11:07;;;;;;9638
03/02/2022 11:09;;;;;;9431
03/02/2022 11:11;;;;;;9667
03/02/2022 11:13;;;;;;9714
03/02/2022 11:15;;;;;;9631
03/02/2022 11:18;;;;;;9470
03/02/2022 11:20;;;;;;9649
03/02/2022 11:22;;;;;;9575
03/02/2022 11:24;;;;;;9743
03/02/2022 11:26;;;;;;9656
03/02/2022 11:28;;;;;;9542
03/02/2022 11:30;;;;;;9473
03/02/2022 11:32;;;;;;9511
03/02/2022 11:34;;;;;;9652
03/02/2022 11:36;;;;;;9788
03/02/2022 11:38;;;;;;9828
03/02/2022 11:40;;;;;;9535
03/02/2022 11:42;;;;;;9434
03/02/2022 11:44;;;;;;9572
03/02/2022 11:46;;;;;;9588
03/02/2022 11:48;;;;;;9358
03/02/2022 11:50;;;;;;9623
03/02/2022 11:52;;;;;;9628
03/02/2022 11:54;;;;;;9451
03/02/2022 11:56;;;;;;9558
03/02/2022 11:58;;;;;;9453
03/02/2022 12:00;;;;;;9465
03/02/2022 12:02;;;;;;9579
03/02/2022 12:04;;;;;;9461
03/02/2022 12:06;;;;;;9461
03/02/2022 12:08;;;;;;9384
03/02/2022 12:10;;;;;;9303
03/02/2022 12:12;;;;;;9571
03/02/2022 12:14;;;;;;9408
03/02/2022 12:16;;;;;;9616
03/02/2022 12:18;;;;;;9591
03/02/2022 12:20;;;;;;9213
03/02/2022 12:22;;;;;;9330
03/02/2022 12:24;;;;;;9480
03/02/2022 12:26;;;;;;9561
03/02/2022 12:28;;;;;;9325
03/02/2022 12:30;;;;;;9434
03/02/2022 12:32;;;;;;9500
03/02/2022 12:34;;;;;;9530
03/02/2022 12:36;;;;;;9618
03/02/2022 12:38;;;;;;9219
03/02/2022 12:40;;;;;;9538
03/02/2022 12:42;;;;;;9206
03/02/2022 12:44;;;;;;9438
03/02/2022 12:46;;;;;;9258
03/02/2022 12:48;;;;;;9653
03/02/2022 12:50;;;;;;9333
03/02/2022 12:52;;;;;;9499
03/02/2022 12:54;;;;;;9430
03/02/2022 12:56;;;;;;9497
03/02/2022 12:58;;;;;;9442
03/02/2022 13:00;;;;;;9477
03/02/2022 13:02;;;;;;9469
03/02/2022 13:04;;;;;;9518
03/02/2022 13:06;;;;;;9565
03/02/2022 13:08;;;;;;9492
03/02/2022 13:10;;;;;;9643
03/02/2022 13:12;;;;;;9527
03/02/2022 13:14;;;;;;9465
03/02/2022 13:16;;;;;;9532
03/02/2022 13:18;;;;;;9562
03/02/2022 13:20;;;;;;9633
03/02/2022 13:22;;;;;;9567
03/02/2022 13:24;;;;;;9595
03/02/2022 13:27;;;;;;9683
03/02/2022 13:29;;;;;;9525
03/02/2022 13:31;;;;;;9768
03/02/2022 13:33;;;;;;9758
03/02/2022 13:35;;;;;;9562
03/02/2022 13:37;;;;;;9388
03/02/2022 13:39;;;;;;9533
